A,AthetaU,PthetaM,umNorm,risk,rankIndicator
4.094667550709638,0.01814492429476869,2.437768162871532e-16,0.24179997973693246,0.002009621908720453,400000.0
8.53671011669902,0.018116165774700103,2.1592787126954117e-16,0.24171771513116722,0.002000984948584735,400000.0
12.380976907240859,0.04617647370791104,2.856820763954666e-16,0.15096396627442707,0.0007673657557412926,400000.0
12.066572975896145,0.06724375797506155,3.6800318680260434e-16,0.13962402888642575,0.0007414937533380343,400000.0
11.252776664742209,0.10554109683506545,1.7700478968556257e-16,0.13705366775403527,0.0006366231890047803,400000.0
11.06369604326186,0.09588257347836437,2.456781859060199e-16,0.13338898594977547,0.0004464746750864929,400000.0
11.435842110581223,0.11115197562652736,6.963275489641536e-16,0.13176699986430396,0.0003529584065913724,400000.0
11.40821538544111,0.1075381815387668,3.650330874123145e-16,0.1313195267576818,0.00034298653863198264,400000.0
11.332918846392797,0.0918068273723993,3.295924499712674e-16,0.12738238355766401,0.00023248185089268366,400000.0
11.105909197210961,0.08828711771249423,1.3510127727747048e-15,0.12738060567484685,0.00022631523222795685,400000.0
10.914151156236652,0.08687471839418692,4.845913687988248e-16,0.1273526618287462,0.00022416986589872875,400000.0
11.134670025773024,0.08596059841197992,2.774328005788663e-16,0.12709470403425063,0.00019588409296394038,400000.0
11.097120562044115,0.08528246316348319,3.690442144474954e-16,0.12677975360704463,0.0001824436400641843,400000.0
11.09196473783027,0.07794552056832316,6.173017667832686e-16,0.12490719689160235,0.00017226400198852175,400000.0
11.204478231796108,0.07648312824049615,5.532011641606626e-16,0.12469740584839144,0.00016422638243946484,400000.0
11.408264137228587,0.07072072862711311,1.0275110294802091e-15,0.1225773336916778,0.00014436191172717352,400000.0
11.453992856243369,0.0699018832986451,5.099840050038961e-16,0.121933855466291,0.00013701182250008115,400000.0
11.454702894669484,0.06985034560019701,3.920145086935007e-16,0.12187802671305097,0.0001370478728183193,400000.0
11.442843659774752,0.07115029270751147,7.429664514286748e-16,0.1205381861574171,0.00013595130081349639,400000.0
11.4300479032877,0.07051610473309837,5.745194949175773e-16,0.12044804920849916,0.00013467186901241316,400000.0
11.470936197914671,0.07014759372168136,7.016761592865597e-16,0.12005761495107474,0.0001290949939198675,400000.0
11.53936835945873,0.07015365194082243,1.4695230786232548e-15,0.11906632498959133,0.00012693380915935757,400000.0
11.449903916128765,0.06624904278462664,3.852625486173127e-16,0.1187637607075032,0.00012152870120578161,400000.0
11.473462565442647,0.06429040280824941,5.716612319885959e-16,0.11844164343718344,0.00011401549209417675,400000.0
11.457067838245536,0.06439233809724572,6.328392773779159e-16,0.11844160399034094,0.00011384609648158094,400000.0
11.33501549799523,0.06631634668627186,4.782310105863398e-16,0.1153430530472284,0.00011244256134452508,400000.0
11.403629437625003,0.06643072145194456,4.981660583863088e-16,0.11518791625145049,0.00011175495768660632,400000.0
11.444619569568738,0.06707775635482216,6.151436281541235e-16,0.11502553583675279,0.00011087600531808182,400000.0
11.432347535250328,0.06707447965970664,5.772915157633785e-16,0.11502420652732932,0.00011083172733918736,400000.0
11.440156813699213,0.0675544326939132,4.717543055615396e-16,0.11475734195763324,0.00011083938983304703,400000.0
11.43894576303372,0.06703484908626868,4.0516538193193168e-16,0.11457389351970534,0.00011026676117274353,400000.0
11.443101188989042,0.06672017961319861,9.311927861401292e-16,0.11452992150039133,0.00010952511105149194,400000.0
11.566364869825481,0.06671162619471686,5.058215344257158e-16,0.11445316017246378,0.00010903927725269644,400000.0
11.584799738760378,0.06660726522883251,5.22425678302525e-16,0.11445314940481567,0.00010874361588261022,400000.0
11.584668718316443,0.065834904398732,6.092427933276225e-16,0.11433938830874325,0.00010796296091935635,400000.0
11.584662017179767,0.06668911275508035,5.646789946502083e-16,0.1125752205254586,8.181230216193688e-5,400000.0
11.584930123756829,0.06694128356638296,6.674484916675004e-16,0.11230664993540383,8.187121233373386e-5,400000.0
11.585925413658783,0.06680682236393377,8.450779934169087e-16,0.11117996726421539,6.579707161486312e-5,400000.0
11.75892330531298,0.06706649176915587,1.1720328794014986e-15,0.11116814387212111,6.587347858236585e-5,400000.0
11.59321779143278,0.06815493340558429,6.183760983755444e-16,0.11042366658971942,6.586282027788847e-5,400000.0
11.590139421752399,0.070750196647134,7.011790017548626e-16,0.11008537050526447,6.564555824379148e-5,400000.0
11.58790994987408,0.07251121095388942,5.950686932760519e-16,0.10957181866583293,6.530466183377539e-5,400000.0
11.591568790143675,0.07299171649778194,6.036939683634093e-16,0.10953363446630202,6.484557043691678e-5,400000.0
11.59163497155765,0.07381959836880791,6.333172659442008e-16,0.10902079382812613,6.438668737918626e-5,400000.0
11.592336533389691,0.07375562958648517,5.075365632147144e-16,0.10897214609295909,6.41671296492595e-5,400000.0
11.593582914640391,0.07400400255168772,7.145932262955239e-16,0.10894242783622163,6.365139461232619e-5,400000.0
11.610721675039501,0.07890626010692979,8.715131332614863e-16,0.10890749984815543,6.246448598044168e-5,400000.0
11.606415671483738,0.07624332146365193,6.896795896050572e-16,0.10862300791242374,6.107537851753724e-5,400000.0
11.614361452694183,0.07553946648856959,4.855771013678863e-16,0.10861662677835128,6.015943829167339e-5,400000.0
11.60763637179301,0.07565692864838293,6.026051027005132e-16,0.1085414647352444,6.03135238475736e-5,400000.0
11.606831298401147,0.07641313688339886,5.08956751459047e-16,0.10812422075789985,6.0268245874787835e-5,400000.0
11.606827159990477,0.07654644845902962,6.199068493852412e-16,0.10789219171324095,6.022382353904113e-5,400000.0
